1.0 + 0.0im
-0.9966427707057816 + 0.0im
-0.9918082400818388 + 0.0im
0.9918081115545312 + 0.0im
0.9916478633748655 + 0.0im
-0.9892318477720718 + 0.0im
-0.9845816435449514 + 0.0im
0.9793171099908352 + 0.0im
-0.9792359348821402 + 0.0im
0.9792316951995684 + 0.0im
0.976061282170553 + 0.0im
0.9740946487248618 + 0.0im
-0.974089937537263 + 0.0im
0.9739960324363865 + 0.0im
-0.9735016363889927 + 0.0im
-0.9652752762270624 + 0.0im
-0.9650942014198339 + 0.0im
-0.9647932096238478 + 0.0im
0.964793008385008 + 0.0im
-0.9595584570095425 + 0.0im
