1.0 + 0.0im
-0.9917758150818962 + 0.0im
-0.9797969626688855 + 0.0im
0.9797957897309227 + 0.0im
0.9794652572834898 + 0.0im
-0.9734985891210245 + 0.0im
-0.9622085000047349 + 0.0im
0.9492739909387085 + 0.0im
-0.948664699317147 + 0.0im
0.9486219202806351 + 0.0im
0.941554232946493 + 0.0im
0.9365110802393877 + 0.0im
-0.936348302999396 + 0.0im
0.9362707609734006 + 0.0im
-0.9346885183263027 + 0.0im
-0.9156971748656358 + 0.0im
-0.9145303531808753 + 0.0im
0.9135912764923823 + 0.0im
-0.913547314174491 + 0.0im
-0.902441691072867 + 0.0im
